title, category, price, city, available
'Напиток Кокосовое Молоко БИО', Бакалея, 1990, Караганда, В наличии
'Соус рыбный AROY-D', Бакалея, 1200, Караганда, В наличии
'Miso - Soup Sen Soy', Бакалея, 550, Караганда, В наличии
'Лапша Гречневая SOBA, Sen-Soy', Бакалея, 950, Караганда, В наличии
'Баклажаны на гриле Le Bonta', Бакалея, 2500, Караганда, В наличии
'Соус Терияки SEN SOY', Бакалея, 920, Караганда, В наличии
'Напиток Соевое Молоко Ваниль БИО', Бакалея, 1400, Караганда, В наличии
'Перец горошком "Mix 4 перца"', Бакалея, 5100, Караганда, В наличии
'Спагетти Di Martino', Бакалея, 1600, Караганда, В наличии
'Приправа для Паэльи Carmencita Marinera', Бакалея, 1400, Караганда, В наличии
'Оливки Микс Le Bonta', Бакалея, 2500, Караганда, В наличии
'Приправа Средиземнорский Микс, Carmencita', Бакалея, 3500, Караганда, В наличии
'Кокосовое Молоко AROY-D 1L', Бакалея, 2000, Караганда, В наличии
'Фисташковая Паста Alicos', Бакалея, 4500, Караганда, В наличии
'Соус Хрен-васаби Sen Soy', Бакалея, 800, Караганда, В наличии
'Бальзамический Крем с Малиной, Giuseppe Giusti, 150 мл.', Бакалея, 3300, Караганда, В наличии
'Цитрусовая заправка SEN SOY', Бакалея, 475, Караганда, В наличии
'Том Ям Паста AROY-D', Бакалея, 1600, Караганда, В наличии
'Соус TABASCO Original red', Бакалея, 1800, Караганда, В наличии
'Паста PENNE RIGATE Di Martino', Бакалея, 1600, Караганда, В наличии
'Соус из черного трюфеля Salsa Nero Tartufi Organic', Бакалея, 4800, Караганда, В наличии
'Миндальная Паста', Бакалея, 4500, Караганда, В наличии
'Имбирная Заправка SEN SOY', Бакалея, 475, Караганда, В наличии
'Лапша яичная EGG, Sen-Soy', Бакалея, 925, Караганда, В наличии
'Брускетта Микс с Баклажаном', Бакалея, 2500, Караганда, В наличии
'Соус с Базиликом Le Bonta', Бакалея, 1700, Караганда, В наличии
'Паста Tofette Di Martino', Бакалея, 1600, Караганда, В наличии
'Каперсы на веточке Le Bonta', Бакалея, 2300, Караганда, В наличии
'Грибной Микс Le Bonta', Бакалея, 2500, Караганда, В наличии
'Брускетта Микс с помидорами и сладким перцем', Бакалея, 2500, Караганда, В наличии
'Оливки фиолетовые "LECCINO" Le Bonta', Бакалея, 2500, Караганда, В наличии
'Оливковое масло с  черным трюфелем 100 мл Olive Oil with black truffle', Бакалея, 4000, Караганда, В наличии
'Артишок со стеблями All Romana', Бакалея, 4000, Караганда, В наличии
'Вермишель фунчоза Sen-Soy', Бакалея, 1100, Караганда, В наличии
'Оливковое масло с белым трюфелем Olive Oil with white truffle', Бакалея, 4000, Караганда, В наличии
'Паста Оливковые Листья', Бакалея, 2000, Караганда, В наличии
'Брускетта Микс с Базиликом', Бакалея, 2500, Караганда, В наличии
'Джем из Сицилийского Апельсина, 110 гр', Бакалея, 1600, Караганда, В наличии
'Соус "Терияки"PEARL RIVER', Бакалея, 1300, Караганда, В наличии
'Паста Том Ям с растительным маслом REAL THAI', Бакалея, 1600, Караганда, В наличии
'Шампиньоны на гриле Le Bonta', Бакалея, 2500, Караганда, В наличии
'Приправа для Паэльи с шафраном Carmencita', Бакалея, 1400, Караганда, В наличии
'Макароны ракушки Orecciette Tricolore', Бакалея, 2000, Караганда, В наличии
'Ломтики черного трюфеля в рассоле Truffle slices Organic', Бакалея, 10600, Караганда, В наличии
'Оливки Зеленые Le Bonta большая банка', Бакалея, 9500, Караганда, В наличии
'Бальзамический Крем с Инжиром 150 мл.', Бакалея, 3300, Караганда, В наличии
'Напиток Миндальное Молоко 8%', Бакалея, 2800, Караганда, В наличии
'Бальзамический Крем с грибами 150 мл.', Бакалея, 3300, Караганда, В наличии
'Вяленые Помидоры в Оливковом Масле Alicos', Бакалея, 3000, Караганда, В наличии
'Бальзамический Крем Бианка, Giuseppe Giusti, 150 мл.', Бакалея, 3300, Караганда, В наличии
'Трюфель черный целый в рассоле Whole Black Truffle in brine', Бакалея, 8500, Караганда, В наличии
'Сальса Соус из Черного трюфеля', Бакалея, 4800, Караганда, В наличии
'Уксус Рисовый', Бакалея, 950, Караганда, В наличии
'Рисовая Вермишель Real Thai', Бакалея, 1000, Караганда, В наличии
'Соус Устричный Pearl River Bridge', Бакалея, 950, Караганда, В наличии
'Перец горошком "Mix 4 перца" 40 гр. Carmencita', Бакалея, 2000, Караганда, В наличии
'Приправа для Паэльи Valenciana', Бакалея, 1400, Караганда, В наличии
'Джем из Сицилийского Лимона, 110 гр', Бакалея, 1600, Караганда, В наличии
'Острый Соус Шрирача AROY-D', Бакалея, 950, Караганда, В наличии
'Бальзамический Уксус Giuseppe Giusti 250 мл.', Бакалея, 7000, Караганда, В наличии
'Каперсы в соли Le Bonta', Бакалея, 1700, Караганда, В наличии
'Вермишель рисовая HU-TEU, Sen-Soy', Бакалея, 985, Караганда, В наличии
'Трюфельный Соус  Salsa Nero Tartufi Organic', Бакалея, 5800, Караганда, В наличии
'Карри Паста Зеленая AROY-D', Бакалея, 1400, Караганда, В наличии
'Приправа для Паэльи Шафран Микс', Бакалея, 1400, Караганда, В наличии
'Рисовая Бумага REAL THAI', Бакалея, 950, Караганда, В наличии
'Приправа  Паэлья Carmencita', Бакалея, 1400, Караганда, В наличии
'Карри Паста Красная AROY-D', Бакалея, 1400, Караганда, В наличии
'Джем из Сицилийского Мандарина, 110 гр', Бакалея, 1600, Караганда, В наличии
'Кокосовое Молоко Aroy-D, 250 мл.', Бакалея, 750, Караганда, В наличии
'Перец Черри с Тунцом и Каперсами, Le Bonta', Бакалея, 3200, Караганда, В наличии
'Бальзамический Уксус Giuseppe Giusti  2 медали, 250 мл.', Бакалея, 9000, Караганда, В наличии
'Том Ям паста Aroy-D 50 гр.', Бакалея, 400, Караганда, В наличии
'Бальзамический уксус Giuseppe Giusti Modena 100 мл.', Бакалея, 4600, Караганда, В наличии
'Бальзамический Уксус Giuseppe Giusti  2 медали, 100 мл.', Бакалея, 6500, Караганда, В наличии
'Брускетта Микс с Вялеными Помидорами', Бакалея, 2500, Караганда, В наличии
'Бальзамический Крем с Ванилью, Giuseppe Giusti, 150 мл.', Бакалея, 3300, Караганда, В наличии
'Фисташковый Песто', Бакалея, 5000, Караганда, В наличии
'Паста из Чили перца Alicos', Бакалея, 3000, Караганда, В наличии
'Бальзамический Уксус Giuseppe Giusti IGP  3 медали, 250 мл.', Бакалея, 13200, Караганда, В наличии
'Бальзамический Уксус Giuseppe Giusti "Quatro Centenfrio" IGP, 100 мл.', Бакалея, 13700, Караганда, В наличии
'Трюфель Черный целый в рассоле', Бакалея, 16500, Караганда, В наличии
'Джем из Красного силийского апельсина', Бакалея, 3000, Караганда, В наличии
'Бальзамический Уксус Giuseppe Giusti IGP  3 медали, 100 мл.', Бакалея, 9100, Караганда, В наличии
'Бальзамический Уксус Giuseppe Giusti 250 мл.', Бакалея, 9100, Караганда, В наличии
'Лук на Гриле Borettane Le Bonta', Бакалея, 2500, Караганда, В наличии
'Паштет из цукини', Бакалея, 3000, Караганда, В наличии
'Шафрановые нити экстра 0,36 гр Сarmencita', Бакалея, 3500, Караганда, В наличии
'Грибы для супа Том Ям Цао Гу 400гр', Бакалея, 950, Караганда, В наличии
'Бальзамический Уксус Giuseppe Giusti "Quatro Centenfrio" IGP, 250 мл.', Бакалея, 20100, Караганда, В наличии
'Пепероната с Оливковым Маслом', Бакалея, 3000, Караганда, В наличии
'Песто Сицилиано', Бакалея, 3000, Караганда, В наличии
'Перец Черри с сыром, Le Bonta, 1700 мл.', Бакалея, 13500, Караганда, В наличии
'Бальзамический Уксус Giuseppe Giusti IGP  3 медали, 250 мл.', Бакалея, 14300, Караганда, В наличии
'Рис Арборио "Ризо Галло" 500 гр', Бакалея, 1450, Караганда, В наличии
'Лук на гриле с Бальзамическим уксусом Le Bonta', Бакалея, 2500, Караганда, В наличии
'КАПОНАТА СИЦИЛЙСКАЯ', Бакалея, 2500, Караганда, В наличии
'Песто Трапеназе', Бакалея, 3000, Караганда, В наличии
'Рис длиннозерный Арборио "Ризо Галло" 500 гр', Бакалея, 1450, Караганда, В наличии
'Напиток Молоко из Бразильского Ореха BIO', Бакалея, 1990, Караганда, В наличии
'Имбирь Маринованный 200 гр', Бакалея, 1000, Караганда, В наличии
'Баклажаны Обжаренные слайсами LeBonta', Бакалея, 8000, Караганда, В наличии
'Джем из Сицилийского лимона, 220 гр', Бакалея, 3000, Караганда, В наличии
'Перец Черри фаршированный Тунцом и Каперсами, 1700 мл.', Бакалея, 13500, Караганда, В наличии
'Рис зерновой Венера "Ризо Галло" 500 гр', Бакалея, 3100, Караганда, В наличии
'Чука салат 200 гр', Бакалея, 1000, Караганда, В наличии
'Оливковое Масло Barbera Non Filtrato уп. 1л', Масло, 6190, Караганда, В наличии
'Оливковое Масло Barbera Oro Del Cuoco', Масло, 4290, Караганда, В наличии
'Масло Оливковое Barbera Filtrato 1литр', Масло, 5990, Караганда, В наличии
'Масло Оливковое BARBERA Selezione Unica 750 мл.', Масло, 4490, Караганда, В наличии
'Масло Сливочное BURRO ASOLO', Масло, 1890, Караганда, В наличии
'Оливковое Масло Barbera Selezione Unica 1 литр', Масло, 4990, Караганда, В наличии
'Оливковое Масло Lorenzo #5, бутылка 500 мл', Масло, 7990, Караганда, В наличии
'Оливковое Масло Lorenzo #1, бутылка 500 мл', Масло, 7990, Караганда, В наличии
'Оливковое Масло Lorenzo #3, бутылка 500 мл', Масло, 7990, Караганда, В наличии
'Масло Оливковое Barbera с цитрусами Сицилии, 250 мл', Масло, 3490, Караганда, В наличии
'Оливковое Масло Barbera c ароматом белого трюфеля 250 мл', Масло, 3490, Караганда, В наличии
'Кокосовое Масло Aroy-D Extra', Масло, 3500, Караганда, В наличии
'Кунжутное Масло REAL TANG', Масло, 1500, Караганда, В наличии
'Оливковое Масло Delicato Tipo Albero', Масло, 4990, Караганда, В наличии
'Масло Оливковое с Ароматическими травами 250 мл', Масло, 3490, Караганда, В наличии
'Масло оливковое Frantoia со вкусом базилика 250 мл', Масло, 3500, Караганда, В наличии
'Масло Авокадо Avocado Oil', Масло, 4000, Караганда, В наличии
'Подарочная Коробка из трех видов масла по 250 мл каждого вида', Масло, 9990, Караганда, В наличии
'Масло Оливковое Barbera c ароматом Черного трюфеля 250 мл.', Масло, 3490, Караганда, В наличии
'Масло оливковое Frantoia со вкусом мандарина', Масло, 3500, Караганда, В наличии
'Оливковое Масло Alive Barbera', Масло, 4990, Караганда, В наличии
'Масло оливковое Frantoia со вкусом апельсина 250 мл', Масло, 3500, Караганда, В наличии
'Масло Оливковое Barbera Aglio Peperoncino с Перцем', Масло, 3490, Караганда, В наличии
'Оливковое Масло Olia Barbera', Масло, 4990, Караганда, В наличии
'Масло оливковое Frantoia со вкусом Шалфея 250 мл', Масло, 2790, Караганда, В наличии
'Масло оливковое Frantoia со вкусом лимона 250 мл', Масло, 2790, Караганда, В наличии
'Оливковое Масло Monokultivar Coratina Barbera', Масло, 4490, Караганда, В наличии
'Масло Оливковое Finca la Torre Hojiblanca Orange', Масло, 1990, Караганда, Временно нет в наличии
'Подарочная упаковка оливковое масло Lorenzo №5', Масло, 9000, Караганда, В наличии
'Подарочный набор Cofanetto Lorenzi', Масло, 24000, Караганда, В наличии
'Подарочная Упаковка масло Lorenzo №3', Масло, 9000, Караганда, В наличии
'Подарочная Коробка Barbera Lorenzo #1', Масло, 9000, Караганда, В наличии
'Сковорода для Паэльи  38 см', Кухня, 9000, Караганда, В наличии
'Чугунная Сковорода Гриль VAELLO', Кухня, 12500, Караганда, В наличии
'Чугунная Сковорода Круглая VAELLO', Кухня, 13000, Караганда, В наличии
'Креветки Королевские 26/30 очищенные', Морепродукты, 6100, Нур - Султан, В наличии
'Креветка Королевская 31/40 очищенная', Морепродукты, 5900, Нур - Султан, В наличии
'Лангустины в панцире с головой, размер 21-30', Морепродукты, 6500, Нур - Султан, В наличии
'Морской Коктейль Стандарт 1 кг', Морепродукты, 3000, Нур - Султан, В наличии
'Креветка Королевская  21/25, в панцире без головы', Морепродукты, 5500, Нур - Султан, В наличии
'Трубка Кальмара', Морепродукты, 3700, Нур - Султан, В наличии
'Чука салат замороженный', Морепродукты, 2800, Нур - Султан, В наличии
'Мидии в раковине 40-60 закрытые', Морепродукты, 4800, Нур - Султан, В наличии
'Гребешок Risma 10/20 глазурь 7%', Морепродукты, 13500, Нур - Султан, В наличии
'Вонголе Свежемороженные уп. 500 гр', Морепродукты, 3500, Нур - Султан, В наличии
'Мидии на раковине Киви 40/60,  Новая Зеландия', Морепродукты, 5400, Нур - Султан, В наличии
'Креветка Арктическая, 70/90,  Гренландия', Морепродукты, 6700, Нур - Султан, В наличии
'Осьминог Бэби, размер 40/60', Морепродукты, 5500, Нур - Султан, В наличии
'Креветка Ваннамей 16/20 в панцире б/г', Морепродукты, 5700, Нур - Султан, В наличии
'Лангустины в Панцире с головой, размер 10-20', Морепродукты, 7200, Нур - Султан, В наличии
'Креветка  Салатная 100/200, глазурь 40%', Морепродукты, 3900, Нур - Султан, В наличии
'Щупальца Кальмара свежемороженные', Морепродукты, 3500, Нур - Султан, В наличии
'Креветка Северная, 90/120,  Гренландия', Морепродукты, 3990, Нур - Султан, В наличии
'Мясо Мидий очищенное', Морепродукты, 3000, Нур - Султан, В наличии
'Лангустины в панцире без головы, размер 30 - 50, уп. 2 кг', Морепродукты, 6500, Нур - Султан, В наличии
'Гребешок 10/20, глазурь 25%', Морепродукты, 6800, Нур - Султан, В наличии
'Устрицы Gillardeau №2', Морепродукты, 1790, Нур - Султан, В наличии
'Кольца Кальмара, уп. 1 кг', Морепродукты, 4800, Нур - Султан, В наличии
'Устрицы Ostra Regal  #2', Морепродукты, 2100, Нур - Султан, В наличии
'Устрицы Fin De Claire №2 Marine', Морепродукты, 1400, Нур - Султан, В наличии
'Креветка Тигровая  с головой 16/20', Морепродукты, 9000, Нур - Султан, В наличии
'Конечности Камчатского Краба 4L', Морепродукты, 24000, Нур - Султан, В наличии
'Креветка Тигровая 8/12  с головой', Морепродукты, 12000, Нур - Султан, В наличии
'Устрицы Tarbouriech', Морепродукты, 2400, Нур - Султан, В наличии
'Кальмар Патагонский', Морепродукты, 5500, Нур - Султан, В наличии
'Гребешок Морской на раковине с икрой 12/16', Морепродукты, 7600, Нур - Султан, В наличии
'Улитка Бургундская в металлическом поддоне', Морепродукты, 2990, Нур - Султан, В наличии
'Хвост Омара, замороженный', Морепродукты, 40000, Нур - Султан, В наличии
'Осьминог Индонезия 0,5 - 1 кг', Морепродукты, 9500, Нур - Султан, В наличии
'Мясо краба, 1я фаланга, блок весом 1 -1,5 кг', Морепродукты, 35000, Нур - Султан, В наличии
'Лобстер (Омар) размер 1000+ гр.', Морепродукты, 45000, Нур - Султан, В наличии
'Клешни Лобстера (Омара) замороженные', Морепродукты, 13500, Нур - Султан, В наличии
'Устрицы Fine de Claire Selection Marine #3', Морепродукты, 1100, Нур - Султан, В наличии
'Устрицы La Belle №2', Морепродукты, 1490, Нур - Султан, В наличии
'Каракатица, размер 40-60', Морепродукты, 4800, Нур - Султан, В наличии
'Кальмар Командорский очищенный', Морепродукты, 3600, Нур - Султан, В наличии
'Кальмар Командорский 600 гр', Морепродукты, 1990, Нур - Султан, В наличии
'Кальмар Тушка Неочищенный', Морепродукты, 2500, Нур - Султан, В наличии
'Гребешок на Створке', Морепродукты, 4500, Нур - Султан, В наличии
'Креветка Королевская Блочная, в панцире 21/25', Морепродукты, 15000, Нур - Султан, В наличии
'Улитки по Бургундски (Escargot)', Морепродукты, 10500, Нур - Султан, В наличии
'Мясо Краба Салатное (кусочками)', Морепродукты, 17500, Нур - Султан, В наличии
'Креветка Risma Премиум глазурь 7%', Морепродукты, 6000, Нур - Султан, В наличии
'Устрицы №2 Царская', Морепродукты, 1600, Нур - Султан, В наличии
'Краб Приморский в собственном соку', Морепродукты, 17500, Нур - Султан, В наличии
'Керамическая Сковорода "Улиточница Эскарготьерка"', Морепродукты, 4500, Нур - Султан, В наличии
'Трубка Кальмара Risma', Морепродукты, 4800, Нур - Султан, В наличии
'Краб Натуральный в собственном соку', Морепродукты, 48000, Нур - Султан, В наличии
'Семга Атлантическая (Лосось) Охлажденная, 3-4 кг', Рыба, 5990, Нур - Султан, В наличии
'Лосось Малосольный филе на шкуре', Рыба, 9500, Нур - Султан, В наличии
'Дорадо Охлажденная вес 300 - 400 гр/шт Греция', Рыба, 4990, Нур - Султан, В наличии
'Стейк из Семги нарезка Подкова', Рыба, 6990, Нур - Султан, В наличии
'Форель Атлантическая охлажденная 3-4 кг, Норвегия', Рыба, 7700, Нур - Султан, В наличии
'Сибас Охлажденный весом 300 - 400 гр/шт', Рыба, 4990, Нур - Султан, В наличии
'Дорадо Охлажденная 400 - 600 гр./шт', Рыба, 4990, Нур - Султан, В наличии
'Сибас Охлажденный 400 - 600 гр/шт', Рыба, 4990, Нур - Султан, В наличии
'Лосось копченый по Шотландски Филе', Рыба, 10800, Нур - Султан, В наличии
'Филе Судака уп. 1 кг', Рыба, 3500, Нур - Султан, В наличии
'Семга Атлантическая охлажденная, 5-6 кг, Норвегия', Рыба, 7700, Нур - Султан, В наличии
'Филе из Охлажденной Семги (Лосося)', Рыба, 14500, Нур - Султан, В наличии
'Морской Окунь размер 500-600 гр', Рыба, 3000, Нур - Султан, В наличии
'Слайсы из Малосольного Лосося', Рыба, 15990, Нур - Султан, В наличии
'Палтус вес 2-3 кг', Рыба, 5500, Нур - Султан, В наличии
'Скумбрия (макрель атлантическая) 400-600', Рыба, 2200, Нур - Султан, В наличии
'Тунец  Yellowfin филе уп. 350-550 гр.', Рыба, 10500, Нур - Султан, В наличии
'Филе на шкуре из Атлантической Семги', Рыба, 8900, Нур - Султан, В наличии
'Филе из Охлажденной Океанической Форели  1,5 - 2 кг', Рыба, 14500, Нур - Султан, В наличии
'Эсколар копченый филе на шкуре', Рыба, 7800, Нур - Султан, В наличии
'Сибас Охлажденный 600 - 800 гр., Греция', Рыба, 7200, Нур - Султан, В наличии
'Форель Атлантическая Норвежская охлажденная 5 - 6 кг', Рыба, 7700, Нур - Султан, В наличии
'Стейк Подкова из Норв. лосося размороженный  вес 300 - 400 гр', Рыба, 7800, Нур - Султан, В наличии
'Филе Трески заморозка', Рыба, 4500, Нур - Султан, В наличии
'Дорадо Охлажденная вес 600-800 гр., Турция', Рыба, 7200, Нур - Султан, В наличии
'Сибас охлажденный весом от 1000 до 1500 гр Турция', Рыба, 8900, Нур - Султан, В наличии
'Слайсы Копченый Лосось (Семга)  Шотландского Копчения', Рыба, 10800, Нур - Султан, В наличии
'Печень трески натуральная, Исландия', Рыба, 1850, Нур - Султан, В наличии
'Тунец Копченый Куском (спинка)', Рыба, 8490, Нур - Султан, В наличии
'Форель Копченая из Охлажденки Филе', Рыба, 10800, Нур - Султан, В наличии
'Форель Радужная Замороженая', Рыба, 3200, Нур - Султан, В наличии
'Филе Лосося копченое цельное вакуум', Рыба, 11500, Нур - Султан, В наличии
'Треска Атлантическая  размер 3 кг+', Рыба, 3500, Нур - Султан, В наличии
'Гравлакс (Gravad Lax) из охлажденки, вес 800 - 1000 гр.', Рыба, 16500, Нур - Султан, В наличии
'Дорадо замороженная, весом 300-400 гр./шт', Рыба, 4200, Нур - Султан, В наличии
'Филе Тунца грейд А, без костей и шкуры', Рыба, 15500, Нур - Султан, В наличии
'Сибас замороженный 300-400 гр.', Рыба, 4200, Нур - Султан, В наличии
'Филе минтая замороженное, уп. 600 гр', Рыба, 1490, Нур - Султан, В наличии
'Угорь Копченый Унаги, филе для суши', Рыба, 10000, Нур - Султан, В наличии
'Снеппер Красный (Red Snapper)', Рыба, 9490, Нур - Султан, В наличии
'Мойва атлантическая', Рыба, 3100, Нур - Султан, В наличии
'Стейк Бабочка из Атлантической семги вес 150 гр.', Рыба, 8900, Нур - Султан, В наличии
'Семга (Лосось) Замороженная размер 6-7 кг', Рыба, 4490, Нур - Султан, В наличии
'Барабулька Red Mullet (Султанка)', Рыба, 9490, Нур - Султан, В наличии
'Стейк Подкова из Форели', Рыба, 7490, Нур - Султан, В наличии
'Черная Треска, вылов Канада', Рыба, 22000, Нур - Султан, В наличии
'Слайсы из копченого Эсколара', Рыба, 14800, Нур - Султан, В наличии
'Стейки из Осетра, уп. 800 грамм', Рыба, 9800, Нур - Султан, В наличии
'Филе Сельди малосольное KingFisher', Рыба, 5000, Нур - Султан, В наличии
'Хек Тушка Свежемороженная', Рыба, 1800, Нур - Султан, В наличии
'Дорадо Охлажденная вес 1+ kg', Рыба, 8900, Нур - Султан, В наличии
'Филе Окуня морского, 220 гр', Рыба, 3000, Нур - Султан, В наличии
'Сибас Замороженный 1+ крупный', Рыба, 7500, Нур - Султан, В наличии
'Филе Осетра Холодного копчения', Рыба, 18500, Нур - Султан, В наличии
'Тунец Филе консервированное в масле', Рыба, 1100, Нур - Султан, В наличии
'Барамунди / Barramundi  вес 0,5 - 2 кг/шт', Рыба, 9490, Нур - Султан, В наличии
'Группер Каменный /Spotted Grouper 0,5 - 2 кг/шт', Рыба, 9490, Нур - Султан, В наличии
'Тунец Копченый нарезка Слайсами', Рыба, 12500, Нур - Султан, В наличии
'Рыба Попугай/ Parrot Fish 0,5 - 2 кг', Рыба, 9490, Нур - Султан, В наличии
'Анчоусы Agostino Recca в масле', Рыба, 3500, Нур - Султан, В наличии
'Чилийский Сибас стейк-подкова', Рыба, 30000, Нур - Султан, В наличии
'Стейк-филе Swordfish (Рыба Меч)', Рыба, 6800, Нур - Султан, В наличии
'Черная Треска стейк-подкова', Рыба, 31000, Нур - Султан, В наличии
'Филе Рыбы Меч (Swordfish) охлажденное', Рыба, 15990, Нур - Султан, В наличии
'Император / Emperor Fish 0,5 - 2 кг/шт', Рыба, 9490, Нур - Султан, В наличии
'Барракуда охлажденная 1-3 кг', Рыба, 9490, Нур - Султан, В наличии
'Сардины в масле Agostino Recca', Рыба, 10500, Нур - Султан, В наличии
'Тунец YellowFin Охлажденный', Рыба, 15500, Нур - Султан, В наличии
'Стейк Акулы', Рыба, 14800, Нур - Султан, Временно нет в наличии
'Анчоусы Agostino Recca, 540 гр', Рыба, 15800, Нур - Султан, В наличии
'Икра Красная Keta, уп. 200 гр.', Икра, 7200, Нур - Султан, В наличии
'Икра Горбуши 2021', Икра, 15990, Нур - Султан, В наличии
'Икра красная "Золото Сахалина"   360 грамм', Икра, 16500, Нур - Султан, В наличии
'Икра красная "Золото Сахалина" 220 грамм', Икра, 10800, Нур - Султан, В наличии
'Икра Морского Ежа', Икра, 10500, Нур - Султан, В наличии
'Икра Черная Стерлядь', Икра, 16500, Нур - Султан, В наличии
'Икра Черная Осетровых', Икра, 35000, Нур - Султан, В наличии
'Икра Горбуши 2021 (200 гр)', Икра, 7000, Нур - Султан, В наличии
'Черная Икра Caspian Caviar', Икра, 66700, Нур - Султан, В наличии
'Икра красная Путина, 440 гр', Икра, 20700, Нур - Султан, В наличии
'Икра Красная Путина, 150 гр', Икра, 7200, Нур - Султан, В наличии
'Икра красная "Обкомовская", уп. 500 гр', Икра, 27200, Нур - Султан, В наличии
'Икра Красная Путина, 240 гр', Икра, 11100, Нур - Султан, В наличии
'Икра красная Путина, 90 гр', Икра, 5400, Нур - Султан, В наличии
'Икра Красная "Обкомовская", уп. 360 гр.', Икра, 19200, Нур - Султан, В наличии
'Икра Красная Путина, 60 гр', Икра, 3200, Нур - Султан, В наличии
'Икра Красная "Обкомовская", 95 гр.', Икра, 5500, Нур - Султан, В наличии
'Икра Красная "Обкомовская" уп. 140 гр.', Икра, 8000, Нур - Султан, В наличии
'Филе утки Мулард', Мясо, 4800, Нур - Султан, В наличии
'Ножка утиная Конфи', Мясо, 5200, Нур - Султан, В наличии
'Печень утиная  Фуа-Гра  Эскалоп', Мясо, 28000, Нур - Султан, В наличии
'Паштет из утки  Rillettes de Canard Classique', Мясо, 3500, Нур - Султан, В наличии
'Колбаски Бордо Экстра, уп. 180 гр', Мясо, 2700, Нур - Султан, В наличии
'Паштет Rillettes de Canard Foie Gras', Мясо, 4000, Нур - Султан, В наличии
'Паштет Пате-Мусс из Фуа-Гра 50%', Мясо, 1700, Нур - Султан, В наличии
'Паштет Пате из Фуа-гра 100%', Мясо, 2500, Нур - Султан, В наличии
'Фуа-гра Утиная  Золото целая', Мясо, 27000, Нур - Султан, В наличии
'Колбаски Фелино Мини', Мясо, 1690, Нур - Султан, В наличии
'Хамон Jamon iberico, 40 гр', Мясо, 10100, Нур - Султан, В наличии
'Хамон Jamon Iberico, уп. 70 гр', Мясо, 15800, Нур - Султан, В наличии
'Хамон Лопатка Jamon Belotta, 40 гр', Мясо, 7500, Нур - Султан, В наличии
'Хамон Jamon Iberico Horeca, 40 гр', Мясо, 9500, Нур - Султан, В наличии
'Колбаски Утиные для гриля', Мясо, 4500, Нур - Султан, В наличии
'Колбаска Пармеджана сыровяленая', Мясо, 3000, Нур - Султан, В наличии
'Колбаска Пражская сыровяленая', Мясо, 3000, Нур - Султан, В наличии
'Чука салат замороженный', Бакалея, 2800, Нур - Султан, В наличии
'Лапша рисовая Real THAI', Бакалея, 1000, Нур - Султан, В наличии
'Ореховая Заправка Sen Soy', Бакалея, 475, Нур - Султан, В наличии
'Вяленые помидоры в масле Le Bonta', Бакалея, 2500, Нур - Султан, В наличии
'Артишок на гриле Le Bonta', Бакалея, 2800, Нур - Султан, В наличии
'Оливки Зеленые Le Bonta', Бакалея, 2500, Нур - Султан, В наличии
'Морская Соль и Прованские травы', Бакалея, 3500, Нур - Султан, В наличии
'Кокосовое Молоко металл Aroy-D', Бакалея, 950, Нур - Султан, В наличии
'Соль Розовая и 3 вида Перца горошком Carmencita', Бакалея, 3500, Нур - Султан, В наличии
'Овощи на Гриле Рустико Le Bonta', Бакалея, 2500, Нур - Султан, В наличии
'Кокосовое Масло Aroy-D Extra', Бакалея, 3500, Нур - Султан, В наличии
'Перец на Гриле Le Bonta', Бакалея, 2500, Нур - Султан, В наличии
'Кунжутное Масло REAL TANG', Бакалея, 1500, Нур - Султан, В наличии
'Песто алла Дженовезе Le Bonta', Бакалея, 2300, Нур - Султан, В наличии
'Напиток Соевое Молоко БИО Органик', Бакалея, 1400, Нур - Султан, В наличии
'Напиток Кокосовое Молоко БИО', Бакалея, 1990, Нур - Султан, В наличии
'Соус рыбный AROY-D', Бакалея, 1200, Нур - Султан, В наличии
'Miso - Soup Sen Soy', Бакалея, 550, Нур - Султан, В наличии
'Лапша Гречневая SOBA, Sen-Soy', Бакалея, 950, Нур - Султан, В наличии
'Баклажаны на гриле Le Bonta', Бакалея, 2500, Нур - Султан, В наличии
'Соус Терияки SEN SOY', Бакалея, 920, Нур - Султан, В наличии
'Напиток Соевое Молоко Ваниль БИО', Бакалея, 1400, Нур - Султан, В наличии
'Перец горошком "Mix 4 перца"', Бакалея, 5100, Нур - Султан, В наличии
'Спагетти Di Martino', Бакалея, 1600, Нур - Султан, В наличии
'Приправа для Паэльи Carmencita Marinera', Бакалея, 1400, Нур - Султан, В наличии
'Оливки Микс Le Bonta', Бакалея, 2500, Нур - Султан, В наличии
'Приправа Средиземнорский Микс, Carmencita', Бакалея, 3500, Нур - Султан, В наличии
'Кокосовое Молоко AROY-D 1L', Бакалея, 2000, Нур - Султан, В наличии
'Фисташковая Паста Alicos', Бакалея, 4500, Нур - Султан, В наличии
'Соус Хрен-васаби Sen Soy', Бакалея, 800, Нур - Султан, В наличии
'Бальзамический Крем с Малиной, Giuseppe Giusti, 150 мл.', Бакалея, 3300, Нур - Султан, В наличии
'Цитрусовая заправка SEN SOY', Бакалея, 475, Нур - Султан, В наличии
'Том Ям Паста AROY-D', Бакалея, 1600, Нур - Султан, В наличии
